shopname,tags,address&tel,average,features
天龙轩,标签:中餐,地址:銅鑼灣登龍街1-29號金朝陽中心2期Midtown25樓   +852-23410999,¥204,特色: 黑豚叉烧   窝贴大虾多士   杨枝甘露
厨魔,标签:港式小吃   小吃快餐,地址:轩尼诗道423-425号嘉年华商业大厦   +852-28823443,¥49,特色: 分子小笼包   佐贺牛排   松露汉堡包
Sushi Tokami,标签:日本料理,地址:旺角奶路臣街11号MPM文华商场5楼   +852-36222211,¥390,特色: 金枪鱼大腹   海胆军舰   金枪鱼中腹
大笪地火锅,标签:小吃快餐   汉堡,地址:长沙湾元州街162-168号天悦广场地下A8号铺   37020958,¥49,特色: 大笪地花胶浓汤鸡锅   安格斯牛肉   花竹虾
禾牛荟火煱馆(尖沙咀店) 分店,标签:茶餐厅   粤菜,地址:旺角亚皆老街8号朗豪坊商场4楼   ,¥316,特色: 手切新鲜牛肉   现打虾滑   素翅冬瓜鸡汤底
桥底辣蟹(谢斐道总店) 分店,标签:面包甜点,地址:油麻地弥敦道560誉发广场地下B铺   +852-27254318,¥311,特色: 桥底辣蟹   濑尿虾   蒜蓉蛏子王
唐阁,标签:西餐,地址:香港大屿山香港迪士尼乐园迪士尼好莱坞酒店   +852-35105000,¥49,特色: 三葱爆龙虾   唐阁宝盒饭   焗蟹盖
大一海鲜火锅料理,标签:茶餐厅   粤菜,地址:中环威灵顿街15-19号地下至2楼   +852-25256338,-,特色: 黑松露带子饺   手工切本地牛肉   金汤腿翅锅
蟹庆,标签:冰淇淋,地址:湾仔汕头街4号地下A1号铺   ,¥40,特色: 蟹玉蒸蛋   活毛蟹海鲜盛合   前菜三點
喜记避风塘炒辣蟹(湾仔总店),标签:小吃快餐   甜品,地址:铜锣湾骆克道506号地下   +852-25911837,-,特色: 避风塘炒蟹   招牌炒蚬   干炒牛河
御宝轩,标签:粤菜   中餐 米其林一星,地址:旺角上海街555号香港康得思酒店酒店6楼   +852-35523300,¥63,特色: 流沙包   御寶濃湯大排翅   鮑汁燜鳳爪
一番風味,标签:茶餐厅   粤菜,地址:尖沙咀金巴利道16-20号香槟大厦一层13-14号铺   +852-27224555,¥62,特色: 招牌黄金蟹粥   脆皮牛腩   避风塘炒虾
Aqua,标签:小吃快餐,地址:油麻地鸦打街33号雅达商业大厦地下   ,¥341,特色: 松露意面   燒Tuna腩卷   薄烧和牛
镛记酒家,标签:茶餐厅   粤菜,地址:铜锣湾大坑京街18号地下   +852-25766577,¥35,特色: 烧鹅   酸姜皮蛋   叉烧
喜记蟹将军,标签:日本料理,地址:區銅鑼灣耀華街38號Zing! 大廈22樓   +852-23872878,¥61,特色: 喜记正宗炒辣蟹   椒盐濑尿虾   清酒煮鲍鱼
不倒翁中日火锅料理(国际广场店) 分店,标签:东南亚菜,地址:尖沙咀广东道17号海港城海运大厦地下G51号铺   +852-21997779,¥74,特色: 雪花牛肉   手切牛肉   象拔蚌
阿一海景饭店,标签:更多美食,地址:吳松街與廟街交會處   ,¥62,特色: 鲍鱼   招牌海鲜炒饭   红酒酱炆牛尾
阿甘虾餐厅(凌霄阁店),标签:面包甜点,地址:中环金融街8号国际金融中心商场二楼2096A   +852-28651099,¥84,特色: 阿甘虾儿童餐   猪仔骨   芝士海鲜饭
Burgeroom(铜锣湾店),标签:港式小吃   小吃快餐,地址:铜锣湾糖街27号A地下   +852-28082877,¥206,特色: 双层鹅肝牛肉汉堡   旋风芝士薯条   大烤菇芝士牛肉堡
太湖海鲜城(铜锣湾店) 分店,标签:粤菜   中餐,地址:中环干诺道中3号中国建设银行大厦5楼全层 5/F   +852-21153388,¥221,特色: 姜米活鱼炒饭   金汤焗龙虾   濑尿虾
翠林辣蟹舫,标签:中餐,地址:西环皇后大道西263号和益大厦地下1号铺   28037209,¥62,特色: 避风塘炒蟹   黄金虾球   南非鲜鲍鱼
大红袍火锅料理(尖沙咀店),标签:日本料理,地址:旺角弥敦道594-596号旺角新城5楼   +852-36187488,¥427,特色: 金屋藏娇   极上牛肉刺身   芝士墨鱼丸
2DP 茶•甜品,标签:粤菜 米其林二星,地址:尖沙咀么地道64号九龙香格里拉大酒店地库1层   +852-27338754,-,特色: 铁观音雪糕   半熟芝士焦糖炖蛋及云尼拿雪糕   2DP素牛大啡菇漢堡
